asin,product_name,amazon_product_name,amazon_product_url
B09X225YTZ,BIC Xtra Precision Fine Point Mechanical Pencils,"BIC Xtra-Precision Mechanical Pencils With Erasers, Fine Point (0.5mm), 144-Count Pack, Mechanical Drafting Pencil Set",https://api.scrapingant.com/v2/general?x-api-key=efe3c4503a354df08cc368f1de974378&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB09X225YTZ
B001CDEUBO,BIC Xtra Precision Fine Point Mechanical Pencils,"BIC Xtra-Precision Mechanical Pencils With Erasers, Fine Point (0.5mm), 24-Count Pack, Mechanical Drafting Pencils Set",https://api.scrapingant.com/v2/general?x-api-key=efe3c4503a354df08cc368f1de974378&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB001CDEUBO
B0BJKLZJCC,U Brands Double Ended Magnetic Markers,"U Brands Glass Dry Erase Board, 23 x 35 Inches, Black Non-Magnetic Surface, Frameless (170U00-01) & Low Odor Magnetic Double Ended Dry Erase Markers with Erasers, Bullet Tip, Assorted Colors, 6-Count",https://api.scrapingant.com/v2/general?x-api-key=efe3c4503a354df08cc368f1de974378&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB0BJKLZJCC
B09ZR6DKXD,U Brands Double Ended Magnetic Markers,"U Brands 362U00-04 Magnetic Dry Erase/Cork Weekly Calendar Board, 18 x 7.5 Inches, Silver Aluminum Frame, White & Low Odor Magnetic Double Ended Dry Erase Markers with Erasers, Bullet Tip, 6-Count",https://api.scrapingant.com/v2/general?x-api-key=efe3c4503a354df08cc368f1de974378&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB09ZR6DKXD
B074J7XQZT,Gorilla Clear Gorilla Glue,"Gorilla Clear Glue, 3.75 Ounce Bottle, Clear, (Pack of 1)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB074J7XQZT
B07Y4773P7,M&M'S Milk Chocolate Candy Party Size Bag,"M&M's Holiday Milk Chocolate Christmas Candy Party Size, 10 Oz Bag, 10.00 Oz (Pack Of 24)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB07Y4773P7
B0B7QFVTTZ,M&M'S Milk Chocolate Candy Party Size Bag,"M&M'S Milk Chocolate Candy, 38-Ounce Party Size Bag SKITTLES Original Chewy Candy, Party Size, 50 oz Bag",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB0B7QFVTTZ
B07W5B43Z8,M&M'S Milk Chocolate Candy Party Size Bag,"M&M'S Milk Chocolate Candy, 38-Ounce Party Size Bag",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB07W5B43Z8
B09JK1YHZC,M&M'S Milk Chocolate Candy Party Size Bag,"M&M'S Holiday Milk Chocolate Christmas Candy, Party Size, 38 oz Resealable Bag",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB09JK1YHZC
B07WHF92NJ,M&M'S Milk Chocolate Candy Party Size Bag,"M&M'S Milk Chocolate Candy, Party Size, 38 oz Bag (Pack of 2)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB07WHF92NJ
B01IA9AWKK,Lever 2000 Aloe & Cucumber Bar Soap,"Lever 2000 Bar Soap, Aloe& Cucumber, 4 oz bars, 8 ea (Pack of 4)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB01IA9AWKK
B06Y1BVBSX,Lever 2000 Aloe & Cucumber Bar Soap,"Lever 2000 Bar Soap, Aloe & Cucumber, 4 oz bars, 8 ea (5 Pack)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB06Y1BVBSX
B01IA9AS1S,Lever 2000 Aloe & Cucumber Bar Soap,"Lever 2000 Bar Soap, Aloe & Cucumber, 4 oz bars, 8 ea (Pack of 2)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB01IA9AS1S
B00LJC3QWW,Lever 2000 Aloe & Cucumber Bar Soap,"Lever 2000 Bar Soap, Aloe & Cucumber, 4 oz bars, 8 ea",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB00LJC3QWW
B082F1LN3P,Pull-Ups Girls' Potty Training Pants Size 6 4T-5T,"Pull-Ups Girls' Potty Training Pants, Size 6, 4T-5T, 17 Ct",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB082F1LN3P
B07X8NDFHN,Pull-Ups Girls' Potty Training Pants Size 6 4T-5T,"Pull-Ups Girls' Potty Training Pants Training Underwear Size 6, 4T-5T, 33 count ( Pack of 3)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB07X8NDFHN
B01MY5FIBM,Pull-Ups Girls' Potty Training Pants Size 6 4T-5T,"Pull-Ups Girls' Potty Training Pants Training Underwear Size 6, 4T-5T, 74 Ct",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB01MY5FIBM
B08QR3HL3L,Pull-Ups Girls' Potty Training Pants Size 6 4T-5T,"Pull-Ups Girls' Potty Training Pants Training Underwear Size 6, 4T-5T, 56 Ct",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB08QR3HL3L
B0014JHFOA,Farberware Cutlery Set,Farberware 23 Pc. Cutlery and Tool Set,https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB0014JHFOA
B0082NN0CM,Farberware Cutlery Set,Farberware 17-Piece Cutlery Set,https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB0082NN0CM
B011N9TL7Y,Farberware Cutlery Set,Farberware 15-Piece Stamped Stainless-Steel Cutlery Set and Classic 3-Piece Bamboo Cutting Board Set Bundle,https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB011N9TL7Y
B081KLPSR1,Farberware Cutlery Set,"Farberware Forged Triple Rivet Cutlery Set, 15-Piece, White",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB081KLPSR1
B08D4T61C3,Farberware Cutlery Set,"Farberware Cutlery Set with Endcap, 12-Piece, Assorted",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB08D4T61C3
B081KLHQ6D,Farberware Cutlery Set,"Farberware Edgekeeper Stainless Steel Cutlery Set, 5-Piece",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB081KLHQ6D
B01M0H5SUV,Farberware Cutlery Set,Farberware 9-Piece Kitchen Cutlery and Kitchen Tool Set,https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB01M0H5SUV
B07KV3GC9B,Farberware Cutlery Set,Farberware 12-pc. Copper & Black Cutlery Set One Size Black,https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB07KV3GC9B
B081KLHQ62,Farberware Cutlery Set,"Farberware Classic Cutlery Set, 6-piece, Navy",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB081KLHQ62
B01M8KDJD0,Farberware Cutlery Set,"Farberware 12-Piece Non-Stick Resin Cutlery Knife Set, Multicolor",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB01M8KDJD0
B01LYO4R4I,Gorilla Clear Gorilla Glue,"Gorilla Super Glue with Brush & Nozzle Applicator, 12 Gram, Clear, (Pack of 1)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB01LYO4R4I
B07SM1CP8S,Gorilla Clear Gorilla Glue,"Gorilla Micro Precise Super Glue, 6 Gram, Clear, (Pack of 1)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB07SM1CP8S
B00OAAUAX8,Gorilla Clear Gorilla Glue,"Gorilla Super Glue Gel, 20 Gram, Clear, (Pack of 1)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB00OAAUAX8
B08QQZ71CV,Gorilla Clear Gorilla Glue,"Gorilla Super Glue, Four 3 Gram Tubes, Clear, (Pack of 1)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB08QQZ71CV
B00KPYB05A,Gorilla Clear Gorilla Glue,"Gorilla Super Glue, 20 Gram, Clear, (Pack of 1)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB00KPYB05A
B07LFZ3Q5Q,Gorilla Clear Gorilla Glue,"Gorilla Super Glue XL, 25 Gram, Clear, (Pack of 1)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB07LFZ3Q5Q
B07GVXRZZX,Gorilla Clear Gorilla Glue,"Gorilla Clear Glue Minis, Four 3 Gram Tubes, Clear, (Pack of 1)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB07GVXRZZX
B09LJ3HMLK,Gorilla Clear Gorilla Glue,"Gorilla Glue Clear Micro Precise, 5 Gram, Clear (Pack of 2)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB09LJ3HMLK
B08QR7M4P4,Gorilla Clear Gorilla Glue,"Gorilla Super Glue Pen, 6 Gram, Clear (Pack of 1)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB08QR7M4P4
B06WD6R96X,Gorilla Clear Gorilla Glue,"Gorilla Clear Glue, 1.75 ounce Bottle, Clear (Pack of 1)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB06WD6R96X
B09314ZGM4,Gorilla Clear Gorilla Glue,"Gorilla Super Glue XL, 25 Gram, Clear, (Pack of 2)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB09314ZGM4
