department,product_name,seller_unit,price,discount,upc,url
School & Office,Crayola Giant Marker & Watercolor Pad, 1 ct,$4.29,,0007166299411,https://www.kroger.com/p/crayola-giant-marker-watercolor-pad/0007166299411?fulfillment=PICKUP
School & Office,BIC Xtra Precision Fine Point Mechanical Pencils,24 pk,$6.53,,0007033041755,https://www.kroger.com/p/bic-xtra-precision-fine-point-mechanical-pencils/0007033041755?fulfillment=PICKUP
School & Office,T-Rex Clear Packaging Tape with Dispenser,1.88 in x 35 yd,$17.66,,0007535326832,https://www.kroger.com/p/t-rex-clear-packaging-tape-with-dispenser/0007535326832?fulfillment=PICKUP
School & Office,U Brands Double Ended Magnetic Markers,6 pk,$9.30,,0081229602507,https://www.kroger.com/p/u-brands-double-ended-magnetic-markers/0081229602507?fulfillment=PICKUP
department,product_name,seller_unit,price,discount,upc,url
Pantry,Mission Soft Taco Flour Tortillas,10 ct / 17.5 oz,$2.79,,0007373100415,https://www.kroger.com/p/mission-soft-taco-flour-tortillas/0007373100415?fulfillment=PICKUP
Pantry,Skippy Creamy Peanut Butter,16.3 oz,$3.39,,0003760011075,https://www.kroger.com/p/skippy-creamy-peanut-butter/0003760011075?fulfillment=PICKUP
Toys & Games,Zuru 5 Surprise Mini Brands Toy,1 ct,25.00,,0019305202081,https://www.kroger.com/p/zuru-5-surprise-mini-brands-toy/0019305202081?fulfillment=PICKUP
Electronics,Allied Lightning Cable and Dual Port USB Car Charger,1 ct,$19.99,,0003579445584,https://www.kroger.com/p/allied-lightning-cable-and-dual-port-usb-car-charger/0003579445584?fulfillment=PICKUP
Pet,Ultra Chewy Double Treat Dog Bone,2.8 oz,$1.29,,0087786900128,https://www.kroger.com/p/ultra-chewy-double-treat-dog-bone/0087786900128?fulfillment=PICKUP
Breakfast,Malt-O-Meal Golden Puffs Bag Cereal,23.5 oz,$3.49,,0004240006946,https://www.kroger.com/p/malt-o-meal-golden-puffs-bag-cereal/0004240006946?fulfillment=PICKUP
Electronics,ZGear High Power Dual Port USB Car Charger - Black,1 ct,$11.99,,0070189025177,https://www.kroger.com/p/zgear-high-power-dual-port-usb-car-charger-black/0070189025177?fulfillment=PICKUP
Baby,Comforts Fruit Crisps Snack Big Deal! Variety Pack,6 ct / 1.94 oz,$4.99,,0004126000294,https://www.kroger.com/p/comforts-fruit-crisps-snack-big-deal-variety-pack/0004126000294?fulfillment=PICKUP
Pet,Fancy Feast Gravy Lovers Salmon & Sole Feast in Seared Salmon Gravy Wet Cat Food,3 oz,$0.90,,0005000029259,https://www.kroger.com/p/fancy-feast-gravy-lovers-salmon-sole-feast-in-seared-salmon-gravy-wet-cat-food/0005000029259?fulfillment=PICKUP
Baby,Johnson's Baby Oil,14 fl oz,$4.79,,0038137003314,https://www.kroger.com/p/johnson-s-baby-oil/0038137003314?fulfillment=PICKUP
Baby,A+D Baby Diaper Rash Relief Ointment & Skin Protectant,4 oz,$7.99,,0004110081124,https://www.kroger.com/p/a-d-baby-diaper-rash-relief-ointment-skin-protectant/0004110081124?fulfillment=PICKUP
Baby,Desitin Maximum Strength Baby Diaper Rash Relief Ointment,2 oz,$5.49,,0007430000070,https://www.kroger.com/p/desitin-maximum-strength-baby-diaper-rash-relief-ointment/0007430000070?fulfillment=PICKUP
Baby,Suave Kids Free & Gentle Body Wash,12 fl oz,$1.99,,0007940004888,https://www.kroger.com/p/suave-kids-free-gentle-body-wash/0007940004888?fulfillment=PICKUP
Baby,Boogie Wipes Fresh Scent Gentle Saline Nose Wipes,30 ct,$4.29,,0089775200201,https://www.kroger.com/p/boogie-wipes-fresh-scent-gentle-saline-nose-wipes/0089775200201?fulfillment=PICKUP
Baby,Gerber Grain & Grow Stage 2 MultiGrain Cereal,8 oz,$2.89,,0001500007003,https://www.kroger.com/p/gerber-grain-grow-stage-2-multigrain-cereal/0001500007003?fulfillment=PICKUP
Baby,Johnson's Cornstarch Baby Powder,,,,0038137003058,https://www.kroger.com/p/johnson-s-cornstarch-baby-powder/0038137003058?fulfillment=PICKUP
Baby,Comforts Apple Fruit Crisps Snack,0.35 oz,$1.00,,0004126037264,https://www.kroger.com/p/comforts-apple-fruit-crisps-snack/0004126037264?fulfillment=PICKUP
Baby,Comforts Carrot & Apple Stage 2 Baby Food Puree Pouch,4 oz,$0.89,,0004126036809,https://www.kroger.com/p/comforts-carrot-apple-stage-2-baby-food-puree-pouch/0004126036809?fulfillment=PICKUP
Baby,Honest Fragrance Free Baby Wipes,288 ct,$19.99,,0081781001468,https://www.kroger.com/p/honest-fragrance-free-baby-wipes/0081781001468?fulfillment=PICKUP
Baby,Huggies Simply Clean Unscented Baby Wipes,,,,0003600053611,https://www.kroger.com/p/huggies-simply-clean-unscented-baby-wipes/0003600053611?fulfillment=PICKUP
Baby,Comforts Sweet Potato & Apple Stage 2 Baby Food Puree Pouch,4 oz,$0.89,,0004126036807,https://www.kroger.com/p/comforts-sweet-potato-apple-stage-2-baby-food-puree-pouch/0004126036807?fulfillment=PICKUP
Baby,Comforts Stage 2 Baby Food Puree Pouches Big Deal! Variety Pack,12 ct / 4 oz,$7.49,,0004126000401,https://www.kroger.com/p/comforts-stage-2-baby-food-puree-pouches-big-deal-variety-pack/0004126000401?fulfillment=PICKUP
Baby,Huggies Simply Clean Unscented Baby Wipes,,,,0003600048762,https://www.kroger.com/p/huggies-simply-clean-unscented-baby-wipes/0003600048762?fulfillment=PICKUP
Baby,Comforts Green Bean & Pear Stage 2 Baby Food Puree Pouch,4 oz,$0.89,,0004126036808,https://www.kroger.com/p/comforts-green-bean-pear-stage-2-baby-food-puree-pouch/0004126036808?fulfillment=PICKUP
Baby,Comforts Pear Peach Raspberry & Quinoa Stage 2 Baby Food Puree Pouch,4 oz,$0.89,,0004126033017,https://www.kroger.com/p/comforts-pear-peach-raspberry-quinoa-stage-2-baby-food-puree-pouch/0004126033017?fulfillment=PICKUP
Baby,Babyganics  Bubble Bath Fragrance Free,20 fl oz,,,0081327701216,https://www.kroger.com/p/babyganics-bubble-bath-fragrance-free/0081327701216?fulfillment=PICKUP
