department,product_name,seller_unit,price,discount,upc,url
Baby,Desitin Maximum Strength Baby Diaper Rash Relief Ointment,2 oz,$5.49,,0007430000070,https://www.kroger.com/p/desitin-maximum-strength-baby-diaper-rash-relief-ointment/0007430000070?fulfillment=PICKUP
Baby,Boogie Wipes Fresh Scent Gentle Saline Nose Wipes,30 ct,$4.29,,0089775200201,https://www.kroger.com/p/boogie-wipes-fresh-scent-gentle-saline-nose-wipes/0089775200201?fulfillment=PICKUP
Baby,Johnson's Baby Oil,14 fl oz,$4.79,,0038137003314,https://www.kroger.com/p/johnson-s-baby-oil/0038137003314?fulfillment=PICKUP
Apparel & Accessories,Kiwi Express Instant Shine Sponge - Black,0.2 oz,$6.99,,0003160018401,https://www.kroger.com/p/kiwi-express-instant-shine-sponge-black/0003160018401?fulfillment=PICKUP
Baby,Comforts Asian Pear Fruit Crisps Snack,0.35 oz,0.99,,0004126037266,https://www.kroger.com/p/comforts-asian-pear-fruit-crisps-snack/0004126037266?fulfillment=PICKUP
Apparel & Accessories,KIWI White Sport Shoelaces,45 in,$2.09,,0003160063394,https://www.kroger.com/p/kiwi-white-sport-shoelaces/0003160063394?fulfillment=PICKUP
Apparel & Accessories,Kiwi Gold With Brown Boot Laces,1 PAIR,$2.09,,0003160066459,https://www.kroger.com/p/kiwi-gold-with-brown-boot-laces/0003160066459?fulfillment=PICKUP
Beauty,Irish Spring Original Deodorant Soap,3 ct / 3.7 oz,$2.99,,0003500014108,https://www.kroger.com/p/irish-spring-original-deodorant-soap/0003500014108?fulfillment=PICKUP
Health & Wellness,Java Monster Loca Moca Coffee + Energy Drink,15 fl oz,$3.29," Buy 2, Get 1 Free",0007084781271,https://www.kroger.com/p/java-monster-loca-moca-coffee-energy-drink/0007084781271?fulfillment=PICKUP
Cleaning and Household,Angel Soft Mega Roll Toilet Paper,8 ct,$7.49,,0003040079414,https://www.kroger.com/p/angel-soft-mega-roll-toilet-paper/0003040079414?fulfillment=PICKUP
